Re-running LLaMA on 100 photos  (new prompt: v12b)

  [1/100] _MG_3783.jpg                        ok
  [2/100] IMG_2912.JPG                        ok
  [3/100] IMG_1783.JPG                        ok
  [4/100] IMG_7479.JPG                        ok
  [5/100] IMG_2731.JPG                        ok
  [6/100] IMG_2749_2.JPG                      ok
  [7/100] IMG_1026.JPG                        ok
  [8/100] IMG_4534.JPG                        ok
  [9/100] IMG_3395.JPG                        ok
  [10/100] _MG_5946.dng                        ok
  [11/100] IMG_6015.JPG                        ok
  [12/100] _MG_6811.dng                        ok
  [13/100] IMG_1644_4x6_300.jpg                ok
  [14/100] IMG_4164.JPG                        ok
  [15/100] _MG_6079.dng                        ok
  [16/100] IMG_4187.JPG                        ok
  [17/100] IMG_0346.JPG                        ok
  [18/100] _MG_6553.JPG                        ok
  [19/100] _MG_6423.JPG                        empty/rejected
  [20/100] IMG_6930.JPG                        ok
  [21/100] IMG_0601.JPG                        ok
  [22/100] _MG_6743.JPG                        ok
  [23/100] _MG_6801.dng                        ok
  [24/100] CRW_8843_4x6_300.jpg                ok
  [25/100] IMG_4319.JPG                        ok
  [26/100] IR7A6125.JPG                        ok
  [27/100] 20240408_144240.jpg                 ok
  [28/100] IMG_0053.JPG                        ok
  [29/100] IMG_9355.JPG                        ok
  [30/100] 20221217_173147.jpg                 ok
  [31/100] IMG_1300.JPG                        ok
  [32/100] IMG_0896.JPG                        ok
  [33/100] IMG_2235.JPG                        ok
  [34/100] IMG_2134.JPG                        ok
  [35/100] IMG_0279.JPG                        ok
  [36/100] _MG_6422.JPG                        ok
  [37/100] IMG_2526.JPG                        ok
  [38/100] IMG_2180.JPG                        ok
  [39/100] _MG_6483.JPG                        ok
  [40/100] _MG_6335.dng                        ok
  [41/100] IMG_5268.JPG                        ok
  [42/100] IMG_1561.JPG                        ok
  [43/100] _MG_7021.dng                        ok
  [44/100] IMG_1499.JPG                        ok
  [45/100] IMG_1791.JPG                        ok
  [46/100] 20230716_220100.jpg                 ok
  [47/100] IMG_0813.JPG                        ok
  [48/100] IMG_1089.JPG                        ok
  [49/100] IMG_3843.JPG                        ok
  [50/100] IMG_0004.JPG                        ok
  [51/100] IMG_4370.JPG                        ok
  [52/100] IMG_0880_4x6_300.jpg                ok
  [53/100] IMG_0278.JPG                        ok
  [54/100] IMG_2264.JPG                        ok
  [55/100] IMG_4302.JPG                        ok
  [56/100] IMG_6987.JPG                        ok
  [57/100] _MG_7295.dng                        ok
  [58/100] IMG_1626.JPG                        ok
  [59/100] IMG_0914.JPG                        ok
  [60/100] CRW_5436.jpg                        ok
  [61/100] IMG_0580.JPG                        ok
  [62/100] IMG_2386.JPG                        ok
  [63/100] IMG_0961.JPG                        ok
  [64/100] IMG_1126_4x6_300.jpg                ok
  [65/100] _MG_6215.JPG                        ok
  [66/100] IMG_3108.JPG                        ok
  [67/100] IMG_8448.JPG                        ok
  [68/100] IMG_0023.JPG                        ok
  [69/100] IMG_0528_4x6_300.jpg                ok
  [70/100] _MG_6794.dng                        ok
  [71/100] IMG_3064.JPG                        ok
  [72/100] 20250124_171012.jpg                 ok
  [73/100] IMG_4348.JPG                        ok
  [74/100] IMG_2155.JPG                        ok
  [75/100] 20240718_214945.jpg                 ok
  [76/100] IMG_5671.JPG                        ok
  [77/100] _MG_6989.JPG                        ok
  [78/100] IMG_8082.JPG                        ok
  [79/100] IMG_4881.JPG                        ok
  [80/100] IMG_4922.JPG                        ok
  [81/100] IMG_0089.JPG                        ok
  [82/100] IMG_5945.JPG                        ok
  [83/100] IMG_0660.JPG                        ok
  [84/100] IMG_3220.JPG                        ok
  [85/100] IMG_7257.JPG                        ok
  [86/100] IMG_7557.JPG                        ok
  [87/100] IMG_3392.JPG                        ok
  [88/100] IMG_1862.JPG                        ok
  [89/100] IMG_1149.JPG                        ok
  [90/100] IMG_4352.JPG                        ok
  [91/100] IMG_4779.JPG                        ok
  [92/100] IMG_9729.JPG                        ok
  [93/100] IMG_2169.JPG                        ok
  [94/100] IMG_3114.JPG                        ok
  [95/100] IMG_0065_2.JPG                      ok
  [96/100] IMG_3993.JPG                        empty/rejected
  [97/100] IMG_4893.JPG                        ok
  [98/100] _MG_6182.JPG                        ok
  [99/100] IMG_1326.JPG                        ok
  [100/100] _MG_6139.JPG                        ok

Rerun complete
  OK     : 98
  Failed : 2
  Saved  : tools\PromptEval\batches\batch_20260410_110245_rerun_20260410_113207_rerun_20260411_025932.json

Next: Claude annotates the new batch, then score it:
  dotnet run -- --score tools\PromptEval\batches\batch_20260410_110245_rerun_20260410_113207_rerun_20260411_025932_annotated.json
